block,trial,choice,expval_ch,reward,Qval_1,Qval_2,expval_1,expval_2
1,1,1,0.48953799911300067,1,0.5,0.5,0.48953799911300067,0.40786440521526035
1,2,1,0.4908447766889468,1,0.65,0.5,0.4908447766889468,0.4013621322773487
1,3,1,0.49176781273986564,0,0.755,0.5,0.49176781273986564,0.4079355592463463
1,4,1,0.4862469853725023,1,0.5285,0.5,0.4862469853725023,0.40252352259523916
1,5,2,0.4051456967437982,0,0.6699499999999999,0.5,0.4940755029240106,0.4051456967437982
1,6,1,0.4887256014329483,0,0.6699499999999999,0.35,0.4887256014329483,0.4117269041080768
1,7,1,0.48900313023135017,1,0.46896499999999997,0.35,0.48900313023135017,0.41194365180952447
1,8,1,0.4846977793917263,0,0.6282755,0.35,0.4846977793917263,0.4150105499040347
1,9,2,0.417228349092484,0,0.43979285,0.35,0.4902164636875877,0.417228349092484
1,10,2,0.42192009935709407,1,0.43979285,0.245,0.4970860061420461,0.42192009935709407
1,11,1,0.49455768151655055,1,0.43979285,0.4715,0.49455768151655055,0.4271197010040639
1,12,1,0.4892651525569582,0,0.6078549950000001,0.4715,0.4892651525569582,0.42749052419571576
1,13,1,0.4977435053343806,1,0.42549849650000005,0.4715,0.4977435053343806,0.42598645345648506
1,14,1,0.500316543368389,1,0.5978489475500001,0.4715,0.500316543368389,0.43055433715370767
1,15,2,0.4305058046389148,0,0.718494263285,0.4715,0.5070192794838789,0.4305058046389148
1,16,1,0.5029491566789324,0,0.718494263285,0.33004999999999995,0.5029491566789324,0.43835339885927976
1,17,2,0.4433764792181941,0,0.5029459842995,0.33004999999999995,0.4948244502483785,0.4433764792181941
1,18,1,0.49747544649936837,1,0.5029459842995,0.231035,0.49747544649936837,0.4379231630160636
1,19,1,0.4889677173638612,1,0.65206218900965,0.231035,0.4889677173638612,0.44395705945227515
1,20,1,0.4809729324048532,0,0.756443532306755,0.231035,0.4809729324048532,0.44699469998626484
1,21,2,0.4460569076563811,1,0.5295104726147285,0.231035,0.4743510179652737,0.4460569076563811
1,22,2,0.4447157519163533,0,0.5295104726147285,0.4617245,0.4721533850332088,0.4447157519163533
1,23,1,0.46354710598416926,1,0.5295104726147285,0.32320715,0.46354710598416926,0.43561691896235455
1,24,1,0.45759152122419333,1,0.67065733083031,0.32320715,0.45759152122419333,0.4365665048613148
1,25,1,0.46081392257933484,1,0.769460131581217,0.32320715,0.46081392257933484,0.44208516534934256
1,26,1,0.4523519251231118,0,0.8386220921068519,0.32320715,0.4523519251231118,0.43492277144089286
1,27,1,0.45362953905555864,1,0.5870354644747964,0.32320715,0.45362953905555864,0.44475582953253595
1,28,2,0.44166015305612766,1,0.7109248251323574,0.32320715,0.45113082887536154,0.44166015305612766
1,29,1,0.44199224088164885,1,0.7109248251323574,0.526245005,0.44199224088164885,0.4470917004672732
1,30,1,0.4368316098575973,0,0.7976473775926503,0.526245005,0.4368316098575973,0.43838474963179697
1,31,1,0.4306663742470375,1,0.5583531643148552,0.526245005,0.4306663742470375,0.4299922194207507
1,32,1,0.42700764281835274,0,0.6908472150203986,0.526245005,0.42700764281835274,0.43949036354902654
1,33,2,0.4385476967966483,1,0.48359305051427903,0.526245005,0.41728089716197464,0.4385476967966483
