"","subject","block","trial","first_trial_in_block","choice","selected_offer","unchosen","offer1","offer2","expval_ch","expval_unch","reward","1","2","arm_1","arm_2"
"1",1,1,1,1,2,1,1,1,2,0.782845912594348,0.508789180871099,1,0.5,0.5,0.508789180871099,0.782845912594348
"2",1,1,2,0,2,1,1,1,2,0.788623459356164,0.481758566853092,1,0.5,0.778643444883402,0.481758566853092,0.788623459356164
"3",1,1,3,0,2,1,1,1,2,0.787616774977498,0.445841146689054,0,0.5,0.902002551013825,0.445841146689054,0.787616774977498
"4",1,1,4,0,1,0,2,1,2,0.4854789388379,0.762494931714545,0,0.5,0.399328354797608,0.4854789388379,0.762494931714545
"5",1,1,5,0,2,1,1,1,2,0.740779710383761,0.495175104288083,1,0.221356555116598,0.399328354797608,0.495175104288083,0.740779710383761
"6",1,1,6,0,2,1,1,1,2,0.728787434327224,0.500212242049474,1,0.221356555116598,0.734074787723558,0.500212242049474,0.728787434327224
"7",1,1,7,0,2,1,1,1,2,0.728138075199744,0.514170700053425,0,0.221356555116598,0.882271422183673,0.514170700053425,0.728138075199744
"8",1,1,8,0,2,1,1,1,2,0.7575124531106,0.530265559900194,1,0.221356555116598,0.390593125384799,0.530265559900194,0.7575124531106
"9",1,1,9,0,2,1,1,1,2,0.755244024671694,0.546649723625702,1,0.221356555116598,0.730207587141613,0.546649723625702,0.755244024671694
"10",1,1,10,0,2,1,1,1,2,0.720605159385772,0.543693648357238,1,0.221356555116598,0.880559361786145,0.543693648357238,0.720605159385772
"11",1,1,11,0,2,1,1,1,2,0.746263400972426,0.575734157010649,1,0.221356555116598,0.947122063568106,0.575734157010649,0.746263400972426
"12",1,1,12,0,2,1,1,1,2,0.757667906637096,0.619951941626576,1,0.221356555116598,0.976590244299523,0.619951941626576,0.757667906637096
"13",1,1,13,0,2,1,1,1,2,0.728304133917842,0.641441873971608,1,0.221356555116598,0.989636194244043,0.641441873971608,0.728304133917842
"14",1,1,14,0,2,1,1,1,2,0.748873932879437,0.646385988334337,0,0.221356555116598,0.995411807319927,0.646385988334337,0.748873932879437
"15",1,1,15,0,1,0,2,1,2,0.637671230132748,0.74193909760486,1,0.221356555116598,0.440681857181452,0.637671230132748,0.74193909760486
"16",1,1,16,0,1,0,2,1,2,0.641504985457701,0.754676944541753,1,0.655284338752979,0.440681857181452,0.641504985457701,0.754676944541753
